university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Community College Leadership,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/community-college-leadership-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Computer Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/computer-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Computer Science,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/computer-science-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Computer Science,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/computer-science-ms-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Computing,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/computing-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Construction Management,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/construction-management-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Counseling,Master of Science (M.S.),"Laramie Campus, Online, Hybrid, UW Casper",https://www.uwyo.edu/uw/degree-programs/counseling-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Creative Writing,Master of Fine Arts (M.F.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/creative-writing-mfa.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Creative Writing,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/creative-writing-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Criminal Justice,Bachelor of Arts (B.A.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/criminal-justice-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Curriculum and Instruction,Doctor of Philosophy (Ph.D.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/curriculum-instruction-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Cybersecurity,Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/cybersecurity-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Dance,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/dance-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Data Analytics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/data-analytics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Dental Hygiene,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/dental-hygiene-bsdh.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,"Design, Merchandising & Textiles",Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/design-merchandising-textiles-bachelors.html
